region,year,sector,emissions
Galicia,2021,agriculture:cropland-fires,879.778267048125
Galicia,2022,agriculture:cropland-fires,750.8014745531077
Galicia,2023,agriculture:cropland-fires,750.8014745531077
Galicia,2024,agriculture:cropland-fires,750.8014745531077
Galicia,2025,agriculture:cropland-fires,243.79037551462667
España,2021,agriculture:cropland-fires,2372.952746461497
España,2022,agriculture:cropland-fires,1875.4397112881888
España,2023,agriculture:cropland-fires,1875.4397112881888
España,2024,agriculture:cropland-fires,1875.4397112881888
España,2025,agriculture:cropland-fires,608.9681053731736
Murcia,2021,agriculture:cropland-fires,3760.3931431074175
Murcia,2022,agriculture:cropland-fires,2959.856629671869
Murcia,2023,agriculture:cropland-fires,2959.856629671869
Murcia,2024,agriculture:cropland-fires,2959.856629671869
Murcia,2025,agriculture:cropland-fires,961.0856979824986
Asturias,2021,agriculture:cropland-fires,2091.01342888066
Asturias,2022,agriculture:cropland-fires,1620.2623129915987
Asturias,2023,agriculture:cropland-fires,1620.2623129915987
Asturias,2024,agriculture:cropland-fires,1620.2623129915987
Asturias,2025,agriculture:cropland-fires,526.1102583096738
Extremadura,2021,agriculture:cropland-fires,4903.70161498049
Extremadura,2022,agriculture:cropland-fires,3991.4152238738607
Extremadura,2023,agriculture:cropland-fires,3991.4152238738607
Extremadura,2024,agriculture:cropland-fires,3991.4152238738607
Extremadura,2025,agriculture:cropland-fires,1296.0398310914297
Baleares,2021,agriculture:cropland-fires,274.4382427825703
Baleares,2022,agriculture:cropland-fires,218.3728247595954
Baleares,2023,agriculture:cropland-fires,218.3728247595954
Baleares,2024,agriculture:cropland-fires,218.3728247595954
Baleares,2025,agriculture:cropland-fires,70.90715023171657
Cataluña,2021,agriculture:cropland-fires,2964.883774404326
Cataluña,2022,agriculture:cropland-fires,2421.4282819076197
Cataluña,2023,agriculture:cropland-fires,2421.4282819076197
Cataluña,2024,agriculture:cropland-fires,2421.4282819076197
Cataluña,2025,agriculture:cropland-fires,786.2543297206054
Cantabria,2021,agriculture:cropland-fires,2728.782218522699
Cantabria,2022,agriculture:cropland-fires,2104.1178204280204
Cantabria,2023,agriculture:cropland-fires,2104.117820428021
Cantabria,2024,agriculture:cropland-fires,2104.117820428021
Cantabria,2025,agriculture:cropland-fires,683.2214519483881
Comunidad Valenciana,2021,agriculture:cropland-fires,627.4544530005937
Comunidad Valenciana,2022,agriculture:cropland-fires,534.8765094286783
Comunidad Valenciana,2023,agriculture:cropland-fires,534.8765094286783
Comunidad Valenciana,2024,agriculture:cropland-fires,534.8765094286783
Comunidad Valenciana,2025,agriculture:cropland-fires,173.67806205386805
Andalucía,2021,agriculture:cropland-fires,8066.8761945416345
Andalucía,2022,agriculture:cropland-fires,6236.71355787662
Andalucía,2023,agriculture:cropland-fires,6236.71355787662
Andalucía,2024,agriculture:cropland-fires,6236.71355787662
Andalucía,2025,agriculture:cropland-fires,2025.1035617063862
Castilla-La Mancha,2021,agriculture:cropland-fires,4991.508404553813
Castilla-La Mancha,2022,agriculture:cropland-fires,3892.3863368971115
Castilla-La Mancha,2023,agriculture:cropland-fires,3892.3863368971115
Castilla-La Mancha,2024,agriculture:cropland-fires,3892.3863368971115
Castilla-La Mancha,2025,agriculture:cropland-fires,1263.8844739682609
Madrid,2021,agriculture:cropland-fires,4496.722697373529
Madrid,2022,agriculture:cropland-fires,3514.4711168015774
Madrid,2023,agriculture:cropland-fires,3514.4711168015774
Madrid,2024,agriculture:cropland-fires,3514.4711168015774
Madrid,2025,agriculture:cropland-fires,1141.1728164363917
Navarra,2021,agriculture:cropland-fires,1835.921065564612
Navarra,2022,agriculture:cropland-fires,1422.2487691505808
Navarra,2023,agriculture:cropland-fires,1422.2487691505808
Navarra,2024,agriculture:cropland-fires,1422.2487691505808
Navarra,2025,agriculture:cropland-fires,461.81390588346517
Aragón,2021,agriculture:cropland-fires,7745.3456741805285
Aragón,2022,agriculture:cropland-fires,6095.431767653165
Aragón,2023,agriculture:cropland-fires,6095.431767653165
Aragón,2024,agriculture:cropland-fires,6095.431767653165
Aragón,2025,agriculture:cropland-fires,1979.2283978190799
La Rioja,2021,agriculture:cropland-fires,3298.805287027155
La Rioja,2022,agriculture:cropland-fires,2535.800622987354
La Rioja,2023,agriculture:cropland-fires,2535.800622987354
La Rioja,2024,agriculture:cropland-fires,2535.800622987354
La Rioja,2025,agriculture:cropland-fires,823.391811365686
Canarias,2021,agriculture:cropland-fires,17.574054180238203
Canarias,2022,agriculture:cropland-fires,15.435899508165553
Canarias,2023,agriculture:cropland-fires,15.435899508165553
Canarias,2024,agriculture:cropland-fires,15.435899508165553
Canarias,2025,agriculture:cropland-fires,5.012142177453247
Castilla y León,2021,agriculture:cropland-fires,12364.915928200044
Castilla y León,2022,agriculture:cropland-fires,9562.762078234364
Castilla y León,2023,agriculture:cropland-fires,9562.762078234364
Castilla y León,2024,agriculture:cropland-fires,9562.762078234364
Castilla y León,2025,agriculture:cropland-fires,3105.09427195442
País Vasco,2021,agriculture:cropland-fires,349.0207341607872
País Vasco,2022,agriculture:cropland-fires,264.5969940758964
País Vasco,2023,agriculture:cropland-fires,264.5969940758964
País Vasco,2024,agriculture:cropland-fires,264.5969940758964
País Vasco,2025,agriculture:cropland-fires,85.91645425869689
Galicia,2021,agriculture:crop-residues,22455.576871100307
Galicia,2022,agriculture:crop-residues,19521.184454870745
Galicia,2023,agriculture:crop-residues,18191.55443535
Galicia,2024,agriculture:crop-residues,18191.55443535
Galicia,2025,agriculture:crop-residues,6063.604109369519
España,2021,agriculture:crop-residues,68708.3902276258
España,2022,agriculture:crop-residues,57121.422649946886
España,2023,agriculture:crop-residues,53080.47522937623
